,id,day,ccy,base_ccy,provider,sell,buy
0,5593,2018-08-22,CAD,UAH,PrivatBank,21.1895280,21.1895280
1,5594,2018-08-22,CNY,UAH,PrivatBank,4.0369120,4.0369120
2,5595,2018-08-22,CZK,UAH,PrivatBank,1.2304370,1.2304370
3,5596,2018-08-22,DKK,UAH,PrivatBank,4.2405760,4.2405760
4,5597,2018-08-22,HUF,UAH,PrivatBank,0.0977641,0.0977641
5,5598,2018-08-22,ILS,UAH,PrivatBank,7.5643580,7.5643580
6,5599,2018-08-22,JPY,UAH,PrivatBank,0.2505316,0.2505316
7,5600,2018-08-22,KZT,UAH,PrivatBank,0.0767840,0.0767840
8,5601,2018-08-22,MDL,UAH,PrivatBank,1.6541850,1.6541850
9,5602,2018-08-22,NOK,UAH,PrivatBank,3.2702240,3.2702240
10,5603,2018-08-22,SGD,UAH,PrivatBank,20.1912600,20.1912600
11,5604,2018-08-22,SEK,UAH,PrivatBank,3.0146980,3.0146980
12,5605,2018-08-22,CHF,UAH,PrivatBank,27.8282670,27.8282670
13,5606,2018-08-22,RUB,UAH,PrivatBank,0.4122700,0.4122700
14,5607,2018-08-22,GBP,UAH,PrivatBank,35.3490340,35.3490340
15,5608,2018-08-22,USD,UAH,PrivatBank,27.6966800,27.6966800
16,5609,2018-08-22,UZS,UAH,PrivatBank,0.0034480,0.0034480
17,5610,2018-08-22,BYN,UAH,PrivatBank,13.5237700,13.5237700
18,5611,2018-08-22,TMT,UAH,PrivatBank,7.6762050,7.6762050
19,5612,2018-08-22,AZN,UAH,PrivatBank,16.2921650,16.2921650
20,5613,2018-08-22,TRY,UAH,PrivatBank,4.5273760,4.5273760
21,5614,2018-08-22,EUR,UAH,PrivatBank,31.6296090,31.6296090
22,5615,2018-08-22,UAH,UAH,PrivatBank,1.0000000,1.0000000
23,5616,2018-08-22,PLZ,UAH,PrivatBank,7.3493990,7.3493990
